Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDZ36,5177.462246994564,OUT027
FDK27,2008.2373208280371,OUT045
FDW23,660.7515813451153,OUT018
FDM14,1646.1629613541365,OUT018
FDM14,1571.9206917469005,OUT013
FDW60,2854.0015423386517,OUT018
FDE21,1932.02040639306,OUT013
NCM42,1579.0632355285259,OUT035
FDY59,229.30441993716383,OUT010
DRI49,1361.242229394149,OUT049
FDT28,367.1850841113215,OUT019
FDQ22,660.7515813451153,OUT018
FDR60,1290.8540321326325,OUT049
FDC50,233.4221899692566,OUT019
FDV24,2484.031163982065,OUT013
DRF48,494.2468687539264,OUT010
FDQ47,668.4016524037304,OUT046
DRN36,1535.4105676789723,OUT049
NCY06,2019.2946620539658,OUT035
FDE52,1499.5402487719277,OUT035
NCB54,2019.2946620539658,OUT045
NCF31,2485.386058355681,OUT035
FDJ08,5223.280532131758,OUT027
NCC07,1567.1913872193763,OUT017
NCD19,1202.158757714894,OUT027
FDL46,1966.304024772227,OUT049
FDM20,3925.286497385511,OUT045
NCI06,445.5191108621896,OUT010
DRM11,4075.4389016131395,OUT035
NCH07,2547.0823804565075,OUT018
FDS23,2030.7835044305702,OUT013
FDO49,740.0369477906613,OUT018
FDS35,1062.5723144344845,OUT049
DRK39,1402.1549012034081,OUT045
DRI39,928.3095928907851,OUT049
FDV04,2547.0823804565075,OUT017
NCN14,3055.8772480758635,OUT035
FDH08,3806.0197779387063,OUT013
FDS20,3055.8772480758635,OUT046
FDV40,1147.0545566329683,OUT049
FDZ48,258.9303522587421,OUT010
FDS24,2595.7265867584174,OUT027
FDK44,2848.9555808501887,OUT049
FDS48,2479.720231720968,OUT045
FDK26,497.51043481501546,OUT010
FDD23,3058.187179980987,OUT045
NCH54,2556.4104466857902,OUT017
NCP14,243.1708390613628,OUT010
FDM60,131.50285831536618,OUT010
FDV24,2484.031163982065,OUT017
FDH08,3620.1132945390314,OUT018
FDS12,2988.454331476776,OUT027
FDR39,4856.979412123652,OUT027
FDP12,969.5552584196907,OUT027
DRF60,5841.69769612864,OUT027
FDC09,1567.1913872193763,OUT035
FDF50,3065.8914344999775,OUT018
FDG28,3925.286497385511,OUT035
NCE19,899.1060711392136,OUT017
NCM53,251.54498263037084,OUT010
NCN18,1665.3835469799187,OUT049
FDF32,3114.2813010966306,OUT035
FDF11,3891.4095033064077,OUT013
DRI59,3783.8588371403685,OUT049
NCG54,2746.1587437345115,OUT035
FDM44,1560.0574097608335,OUT046
FDT57,3673.8362136768574,OUT018
FDV24,2484.031163982065,OUT046
FDI50,575.0420897081647,OUT019
FDS09,750.7118632577409,OUT035
NCC31,4077.1540165610677,OUT027
FDQ07,574.8654829826221,OUT019
FDC22,3059.9474163180694,OUT017
FDZ56,2746.1587437345115,OUT046
FDZ40,131.50285831536618,OUT019
FDS46,2930.9163743451154,OUT027
DRD24,2038.9346748714077,OUT045
FDV45,3058.187179980987,OUT017
FDL26,2489.937131095645,OUT045
FDA56,2019.2946620539658,OUT018
FDN27,1940.2444272991581,OUT046
FDM20,3910.120420611298,OUT049
FDO16,1402.1549012034081,OUT017
FDL03,3062.706527369466,OUT035
FDE58,1932.02040639306,OUT046
FDI02,2921.846959300841,OUT027
NCC55,131.50285831536618,OUT019
FDR03,3280.351586013165,OUT018
FDB14,1521.7327707315467,OUT017
FDR45,3906.2421958940563,OUT013
NCN07,2030.7835044305702,OUT017
FDM51,245.0492661541892,OUT019
FDT52,5841.69769612864,OUT027
FDL26,2489.937131095645,OUT046
NCZ42,3883.902557075649,OUT046
DRI47,366.8876019747074,OUT019
FDW40,2042.009148372961,OUT013
FDN34,2746.1587437345115,OUT046
FDS01,2888.6008214314097,OUT035
NCG55,1932.02040639306,OUT045
FDC11,1463.5406914577181,OUT035
FDX35,3598.022285332606,OUT018
NCB06,2552.3026377943834,OUT046
FDR09,573.4113775673113,OUT019
FDC53,1535.4105676789723,OUT017
FDY45,4021.5842162947297,OUT013
FDA22,386.1163549857751,OUT010
FDE02,1531.2714836652565,OUT035
FDW21,1552.8231274519626,OUT045
FDV34,1142.1407588955733,OUT046
FDS59,1579.0632355285259,OUT049
NCW17,2019.2946620539658,OUT017
NCK54,1932.02040639306,OUT046
FDG17,575.0420897081647,OUT019
FDG35,2848.9555808501887,OUT017
FDD08,131.50285831536618,OUT010
NCO07,3605.8073971561676,OUT017
FDJ10,281.6755135480692,OUT010
FDW36,1567.1913872193763,OUT017
FDW21,239.3632483763487,OUT010
FDY19,1937.2146767596882,OUT017
DRE03,789.3786050157892,OUT013
NCC55,667.6087270162657,OUT049
FDH52,136.51646796448608,OUT010
FDO09,4075.0393316186032,OUT017
FDU43,3889.718524023307,OUT045
FDX09,417.67639132534765,OUT010
FDH40,192.9388108633646,OUT019
FDW58,1567.1913872193763,OUT017
FDC47,3793.4617165292902,OUT017
NCR41,1531.2714836652565,OUT035
DRG49,3905.2204235723593,OUT035
FDC52,4056.722587601933,OUT027
FDY13,1164.6729639799812,OUT046
FDY35,715.6481757947128,OUT013
FDI35,3046.356163514092,OUT017
NCU18,2042.009148372961,OUT049
FDY33,2549.801370765764,OUT018
FDC15,4184.037643308041,OUT027
FDU01,3058.187179980987,OUT049
NCU42,2746.1587437345115,OUT046
NCV29,2854.0015423386517,OUT018
NCY30,3055.8772480758635,OUT017
FDQ46,1704.1869315584738,OUT049
FDG58,4072.1268466208503,OUT027
FDK33,3605.8998285747653,OUT017
NCD07,1928.935201816239,OUT045
NCX29,3992.2339224412203,OUT027
NCT42,2477.083879366873,OUT013
DRN59,741.0122315204967,OUT035
FDI44,1294.1715238278134,OUT035
FDA45,2859.1399632149923,OUT049
FDP31,1077.359926776571,OUT045
FDY01,1928.935201816239,OUT046
FDT09,2033.0671355704753,OUT018
DRH03,2813.721665526738,OUT027
FDA36,3055.2844807995953,OUT018
NCF31,2487.4499136327563,OUT017
FDG14,2484.031163982065,OUT049
FDG28,5841.69769612864,OUT027
FDU14,4002.708434672704,OUT049
FDY47,285.7572318071471,OUT019
FDI56,1501.4250683131,OUT049
DRD01,989.2021116212004,OUT013
FDM22,955.7336224233393,OUT046
FDH33,710.961726443037,OUT013
DRZ24,1963.3507351688975,OUT013
NCQ38,1567.1913872193763,OUT046
FDO16,2339.1408661161354,OUT027
FDU07,4038.2762794282344,OUT027
NCB07,3062.706527369466,OUT013
FDU48,2033.0671355704753,OUT045
NCM43,2568.169250152012,OUT045
FDR31,363.9226645753772,OUT010
DRK49,661.6433821346109,OUT018
NCI30,576.6304528516263,OUT010
DRD60,3021.7718920873776,OUT017
NCG19,3848.005924620289,OUT046
FDH12,1567.1913872193763,OUT035
FDM32,1517.7962803207984,OUT035
FDM27,2496.724320830672,OUT035
NCU53,4259.9395248003375,OUT027
NCQ18,1542.7826528175588,OUT046
FDS10,2961.194594317957,OUT013
FDB33,4184.037643308041,OUT027
FDI12,1519.0273803965385,OUT013
NCW42,3749.2612604211276,OUT013
NCC06,2019.2946620539658,OUT018
FDW02,2019.2946620539658,OUT017
NCD43,1567.1913872193763,OUT017
FDM57,1418.7577196768607,OUT018
FDA58,3866.5905761521517,OUT017
FDK56,3058.187179980987,OUT046
FDP52,3816.405931320891,OUT045
FDW20,2019.2946620539658,OUT018
FDS52,1547.7168839605947,OUT049
NCT29,2003.0461232764555,OUT018
NCL54,2856.904241520043,OUT013
FDC05,3084.889789305287,OUT045
FDF34,3062.706527369466,OUT035
FDP03,2980.556929374123,OUT027
FDD32,189.04841621810002,OUT010
FDZ10,2019.2946620539658,OUT045
FDZ40,897.8577688644433,OUT035
FDD51,666.3173603360336,OUT018
NCY30,422.6431929868255,OUT019
FDP58,3653.1308297528612,OUT017
FDV49,4063.2786298591614,OUT017
FDY24,131.50285831536618,OUT019
NCO55,1571.9206917469005,OUT017
FDR13,1932.02040639306,OUT017
FDS51,1046.1971055310717,OUT017
FDP26,1567.1913872193763,OUT045
NCB54,2988.454331476776,OUT027
FDF32,3062.706527369466,OUT017
FDN31,3055.2844807995953,OUT018
DRM48,660.7515813451153,OUT017
FDN20,2743.4823967591888,OUT049
DRL01,3804.8118825000856,OUT046
FDV56,1571.9206917469005,OUT049
DRH13,2874.296487743794,OUT027
FDA03,2469.664265690032,OUT017
FDF47,5841.69769612864,OUT027
FDX32,2469.664265690032,OUT046
FDX57,1535.4105676789723,OUT049
NCA30,3058.187179980987,OUT045
FDO49,789.3786050157892,OUT013
FDL04,247.81103208772947,OUT019
DRM48,665.8224100913811,OUT035
FDR16,3607.202442393355,OUT013
NCC19,3059.8038281880745,OUT018
NCE42,3865.4905829890395,OUT045
FDY24,899.1060711392136,OUT017
FDH19,2848.9555808501887,OUT049
FDJ46,2848.9555808501887,OUT013
FDN45,573.8255873467152,OUT010
FDY08,2035.9454970751883,OUT035
FDZ37,1466.7893858425668,OUT035
NCT30,745.1077765369271,OUT045
DRY23,662.5780549705291,OUT018
NCZ30,2019.2946620539658,OUT018
FDC44,1919.369786473976,OUT018
FDB45,1567.1913872193763,OUT035
FDY04,2561.133707827727,OUT013
FDM27,2549.801370765764,OUT046
FDZ43,3898.290535456039,OUT017
FDT39,369.93297100015644,OUT019
NCC06,281.65244612848045,OUT019
FDL15,4072.1268466208503,OUT027
FDL57,4025.2802332557476,OUT017
FDU08,1538.1045264534562,OUT046
FDK40,4077.8772288276164,OUT017
FDQ12,574.0021940722577,OUT010
FDS48,2484.031163982065,OUT017
FDP09,3607.705034301948,OUT045
FDW21,1542.7826528175588,OUT049
FDY25,3021.7718920873776,OUT035
DRE13,1452.219870391665,OUT017
FDV43,131.50285831536618,OUT019
FDD22,1698.5767883546814,OUT045
FDM46,230.81464898387821,OUT019
NCO30,472.7410300340583,OUT010
FDM25,2848.9555808501887,OUT046
NCN41,2019.2946620539658,OUT049
FDU24,1527.4907554650106,OUT045
FDZ50,3055.8772480758635,OUT046
FDP45,4001.333143402731,OUT013
NCM54,2019.2946620539658,OUT045
FDW10,414.3208359297186,OUT019
FDP20,2019.2946620539658,OUT017
FDK32,2484.031163982065,OUT046
FDN52,1470.690800398367,OUT049
FDM58,1665.3835469799187,OUT045
FDZ46,2921.846959300841,OUT027
NCA18,1932.02040639306,OUT018
FDD35,2019.2946620539658,OUT046
NCK31,745.1077765369271,OUT035
FDI40,2849.2585018078926,OUT027
FDT50,236.1114836207941,OUT019
NCT06,2568.169250152012,OUT046
FDT31,3058.187179980987,OUT035
FDT45,863.4317033319718,OUT049
FDT13,3058.187179980987,OUT045
FDO50,1499.7322529931769,OUT045
NCU18,280.6544205929745,OUT010
NCR54,3062.706527369466,OUT049
NCO18,2856.2372640336007,OUT018
FDU09,901.6672701219334,OUT045
FDT13,3055.2844807995953,OUT018
FDE09,1704.1869315584738,OUT046
NCK53,245.0492661541892,OUT019
FDG45,3605.462204646618,OUT049
DRH15,687.9775086338043,OUT035
FDO21,575.0420897081647,OUT019
FDD14,5164.449446895799,OUT027
FDC09,1567.1913872193763,OUT046
FDH45,971.3817320451047,OUT027
FDV32,1110.4880365310937,OUT046
FDG12,1975.4569174431856,OUT035
FDS32,2035.9454970751883,OUT013
NCL55,3830.1783962898903,OUT018
DRE01,3901.2180040962126,OUT035
DRE15,1297.7490509851614,OUT049
NCL42,3906.233829329275,OUT045
FDP31,1215.1593681336417,OUT013
FDN33,1529.160203090022,OUT018
FDZ59,2568.169250152012,OUT046
FDE45,422.0539278551298,OUT010
FDJ07,1963.3507351688975,OUT013
FDQ45,3055.2844807995953,OUT018
FDM33,5841.69769612864,OUT027
FDO15,152.08545263467244,OUT010
FDM46,1542.055996881088,OUT013
FDR03,3394.978086040869,OUT045
FDY49,2659.947551497785,OUT018
FDQ60,1966.304024772227,OUT045
FDW10,2848.9555808501887,OUT049
FDO51,684.737189924869,OUT049
FDJ40,1576.6153016571989,OUT018
FDS20,3052.974548894472,OUT018
FDU45,1799.7634770837178,OUT013
FDV02,2746.1587437345115,OUT035
FDN09,3911.808143002438,OUT046
NCM55,5177.462246994564,OUT027
FDN23,2462.6298668767686,OUT018
FDY31,366.8876019747074,OUT010
FDW03,243.1708390613628,OUT010
FDD14,3055.8772480758635,OUT046
FDV23,2019.2946620539658,OUT017
DRI03,2848.9555808501887,OUT045
FDN13,1542.7826528175588,OUT035
FDF45,1301.5790458701656,OUT027
FDU46,1468.7908064362716,OUT035
FDB57,3745.849802092558,OUT049
FDV12,1545.4877108782741,OUT049
FDQ58,2484.031163982065,OUT013
NCA18,1928.935201816239,OUT017
FDH52,1014.0955525475501,OUT049
FDM24,2479.720231720968,OUT018
NCP43,4856.979412123652,OUT027
NCO18,424.82452533596654,OUT019
FDM32,1504.7081782261694,OUT017
NCL07,660.7515813451153,OUT017
FDK03,4001.5053170981882,OUT013
FDP59,1567.1913872193763,OUT017
FDQ24,4001.6774933583547,OUT049
FDQ16,1579.0632355285259,OUT018
FDU44,2552.3026377943834,OUT013
FDH28,131.50285831536618,OUT010
FDV28,131.50285831536618,OUT019
FDM22,910.8183194682947,OUT045
FDR56,3062.706527369466,OUT046
FDV39,3062.706527369466,OUT049
FDU37,167.53591204014668,OUT019
FDQ11,576.41321487191,OUT010
FDX02,3779.277398726225,OUT045
NCS42,1523.4022183565578,OUT018
FDY57,2814.645823123193,OUT027
FDB21,3889.347877545083,OUT049
FDE28,3820.6743199726598,OUT017
FDQ55,1919.369786473976,OUT017
FDA48,3756.8705932495905,OUT049
FDZ19,2848.9555808501887,OUT045
NCC43,4008.7594992498216,OUT045
NCV18,1420.231299174992,OUT046
NCA42,2549.801370765764,OUT018
FDY45,4042.925600416493,OUT046
NCC30,2958.593867398671,OUT045
FDM57,1518.8403250402605,OUT013
FDL09,389.36754025849933,OUT010
FDB09,2980.556929374123,OUT027
FDT44,1966.304024772227,OUT035
NCT06,4259.9395248003375,OUT027
FDX26,3055.8772480758635,OUT049
FDK32,2487.4499136327563,OUT013
DRA12,2052.4915818904988,OUT046
FDO46,494.15487941938625,OUT010
FDE52,1524.8266641144116,OUT013
NCH42,3814.7819703955843,OUT045
FDV08,667.6488837167949,OUT035
FDB47,3440.4481846349763,OUT018
FDC28,258.9303522587421,OUT010
FDD22,1921.9887620110408,OUT046
FDS07,2921.846959300841,OUT027
DRI13,3640.2665679066954,OUT045
FDG32,3568.620286583961,OUT018
FDU14,4008.8623228501524,OUT017
FDD28,133.08205337499652,OUT019
NCP41,1579.0632355285259,OUT017
FDS08,2848.9555808501887,OUT049
FDX47,2530.2419706403184,OUT045
FDC53,243.48101840844149,OUT019
FDQ19,3907.3518515283085,OUT035
FDL14,2489.937131095645,OUT045
FDM33,572.4544621829697,OUT019
FDA51,1919.369786473976,OUT045
FDZ27,740.0369477906613,OUT018
FDT04,669.293453193226,OUT046
DRC13,2019.2946620539658,OUT049
FDR16,5841.69769612864,OUT027
FDQ03,5841.69769612864,OUT027
FDE38,2707.8868316493777,OUT035
DRH23,1231.6619096138486,OUT027
FDT11,497.09622503561155,OUT019
FDD09,2973.306959925054,OUT035
FDR40,1402.1549012034081,OUT045
FDX07,3055.8772480758635,OUT017
FDR07,1535.4105676789723,OUT035
FDA51,1924.3078821553534,OUT017
FDT59,572.6310689085122,OUT019
FDF20,3062.706527369466,OUT017
FDR13,1928.935201816239,OUT045
FDY26,3607.817361556399,OUT049
FDW04,2030.7835044305702,OUT017
FDK52,3795.312044597612,OUT017
FDN60,2527.4900012966386,OUT049
FDM09,412.0324297642609,OUT019
FDP46,1465.4406854198137,OUT049
FDB50,167.06139571533961,OUT019
NCQ29,4055.1112891996127,OUT049
FDP16,5841.69769612864,OUT027
FDX33,2552.3026377943834,OUT018
FDP07,510.7618224529165,OUT010
FDN22,4009.060415757758,OUT046
FDF39,4060.7291395402735,OUT049
FDS21,1027.1398039474834,OUT017
NCM42,1571.9206917469005,OUT013
FDK50,383.7928175218721,OUT019
DRF13,4024.1811488029266,OUT027
FDH35,2568.169250152012,OUT018
FDP60,1547.1571585032857,OUT018
DRJ49,2987.530173880321,OUT027
NCT42,366.967132243062,OUT019
FDE38,2702.969275936122,OUT049
FDI04,3084.889789305287,OUT049
NCH54,2533.9174901760402,OUT045
FDT56,951.0573549043365,OUT049
DRD15,3622.4178965922556,OUT018
FDV58,3062.706527369466,OUT013
FDP21,3058.187179980987,OUT049
FDH05,3805.869402442743,OUT013
FDR10,4241.58939593648,OUT027
NCP06,2477.083879366873,OUT045
FDF33,1569.6327616513547,OUT049
DRK37,3058.187179980987,OUT013
DRH49,1396.347975155118,OUT045
FDT58,2677.658336724597,OUT013
FDD41,1567.1913872193763,OUT018
FDP40,1662.8749500638064,OUT018
FDM51,2848.334344211438,OUT027
FDO45,193.7017959723642,OUT010
FDW33,243.1708390613628,OUT010
FDY24,897.8577688644433,OUT045
FDB10,572.8686719623736,OUT010
FDM40,2044.707363632945,OUT035
NCI06,3021.7718920873776,OUT017
FDW12,337.45291464872787,OUT019
FDX48,4077.1540165610677,OUT027
NCW05,2873.2958445957793,OUT027
FDX27,1531.2714836652565,OUT017
DRM37,3084.889789305287,OUT045
FDA38,3898.6871660508914,OUT045
FDR36,668.4016524037304,OUT046
FDZ45,3104.376298508387,OUT046
FDG05,2547.0823804565075,OUT017
FDK28,4065.395949727999,OUT013
FDV47,1448.2374952178936,OUT045
FDN21,2552.3026377943834,OUT045
FDP20,2987.530173880321,OUT027
FDI35,3046.356163514092,OUT045
DRY23,710.961726443037,OUT013
FDA56,2019.2946620539658,OUT017
FDB09,2019.2946620539658,OUT013
NCO26,2928.8221666099976,OUT027
FDQ49,2513.276964738763,OUT018
FDI52,2976.6942467498175,OUT027
FDZ44,2927.8980090135424,OUT027
FDZ09,2568.169250152012,OUT018
FDY03,1919.369786473976,OUT049
NCG42,2030.7835044305702,OUT017
DRI13,5841.69769612864,OUT027
FDQ32,2019.2946620539658,OUT013
FDW16,1499.7322529931769,OUT035
FDU27,746.8940934618117,OUT046
FDR28,386.0297971147208,OUT010
FDQ49,383.5046496201989,OUT010
FDS37,1932.02040639306,OUT046
FDW26,3535.457474909585,OUT018
FDX12,3716.1613011511126,OUT018
NCP06,2482.041820327338,OUT013
FDW45,366.8876019747074,OUT010
NCN30,1531.2714836652565,OUT049
FDN24,863.4317033319718,OUT049
NCL41,969.5552584196907,OUT027
FDR02,257.1937660788719,OUT019
FDD09,438.89998940547133,OUT010
FDS33,194.1281471359758,OUT010
FDU22,1999.8804351329218,OUT045
FDI53,2561.133707827727,OUT013
DRH01,2848.9555808501887,OUT049
FDX32,2061.3681055061893,OUT013
NCP30,660.7515813451153,OUT018
FDB60,3062.706527369466,OUT045
FDB14,1527.4907554650106,OUT049
NCP02,902.5623386143889,OUT035
FDJ10,2035.9454970751883,OUT017
FDG34,1662.8749500638064,OUT046
NCB18,1465.4406854198137,OUT017
FDM16,1103.5027930920392,OUT049
FDW25,1421.140994914696,OUT018
FDB35,220.99787461392677,OUT010
DRN11,2089.9982693691936,OUT013
FDF41,573.4113775673113,OUT019
FDH16,1471.2934128119666,OUT045
NCQ50,3445.9812770556573,OUT018
DRH23,937.3596385117565,OUT018
DRJ37,2484.031163982065,OUT013
DRJ24,5170.764241512453,OUT027
FDY16,3055.8772480758635,OUT035
FDQ27,1567.1913872193763,OUT045
FDZ33,2477.083879366873,OUT045
FDF29,2033.0671355704753,OUT045
FDA08,2561.133707827727,OUT049
FDG31,1116.5160639996343,OUT046
FDE34,460.5374693092715,OUT019
NCR30,1437.2842310615324,OUT027
FDV33,4060.2727218641608,OUT035
DRZ24,2005.379039961096,OUT018
NCL54,2848.9555808501887,OUT035
FDR12,2848.9555808501887,OUT049
NCC54,3881.9688438824337,OUT046
DRN59,784.3250742467386,OUT013
FDX50,258.1639681006329,OUT019
FDV31,4785.611471882339,OUT027
NCA29,4443.0981747323585,OUT027
FDW60,2856.904241520043,OUT049
FDX08,3055.8772480758635,OUT017
DRD49,3852.6101033491495,OUT013
FDD33,3826.0339485195786,OUT046
FDW35,710.961726443037,OUT013
FDJ36,1567.1913872193763,OUT017
FDV51,2620.0809344049385,OUT035
FDW36,1569.6327616513547,OUT046
FDH35,2568.169250152012,OUT046
NCS30,2993.664330974626,OUT027
FDN49,660.7515813451153,OUT017
FDL08,3732.9224235821803,OUT018
FDI09,3886.3702142865054,OUT013
FDP19,2030.7835044305702,OUT018
FDU21,131.50285831536618,OUT010
NCP41,1571.9206917469005,OUT045
FDY10,1829.351986730893,OUT013
FDP12,660.7515813451153,OUT018
NCN26,1928.935201816239,OUT049
FDK44,2848.9555808501887,OUT013
FDC28,1579.0632355285259,OUT049
FDJ41,5841.69769612864,OUT027
NCT29,2019.2946620539658,OUT035
NCH42,575.9990050925061,OUT019
FDU60,2672.2652095639974,OUT018
FDS02,3062.706527369466,OUT045
FDC51,2019.2946620539658,OUT046
FDU03,3055.8772480758635,OUT013
FDX39,3612.7507805057116,OUT045
NCY05,131.50285831536618,OUT010
NCL06,5841.69769612864,OUT027
FDD32,1311.7665204788013,OUT035
NCN41,2019.2946620539658,OUT045
NCX53,2042.009148372961,OUT049
FDU57,368.89057877580194,OUT019
FDQ23,1567.1913872193763,OUT046
FDQ52,4008.3294161338163,OUT045
FDC14,665.8224100913811,OUT045
FDY09,2856.904241520043,OUT035
FDQ28,2498.252666429811,OUT045
FDV25,3762.673988836699,OUT046
FDJ07,1932.02040639306,OUT035
DRB25,1567.1913872193763,OUT049
FDK52,572.4544621829697,OUT019
FDY52,1385.8918310575186,OUT027
FDB28,3062.706527369466,OUT046
FDT36,665.8224100913811,OUT035
FDV25,3770.506565539143,OUT017
NCN07,2992.740173378171,OUT027
FDC57,3062.706527369466,OUT017
FDQ03,3683.238690945586,OUT018
FDU23,2675.167908745389,OUT017
NCX41,3607.6471889437635,OUT035
NCD06,745.1077765369271,OUT035
FDW08,1569.6327616513547,OUT045
NCU29,2465.110415350573,OUT017
NCE06,2552.3026377943834,OUT013
FDV52,272.85799038991826,OUT010
FDB02,2856.904241520043,OUT017
NCR18,667.6488837167949,OUT045
FDK16,1531.2714836652565,OUT049
NCQ29,575.279692762026,OUT010
FDZ01,246.24278434198175,OUT019
FDW27,2525.429988912066,OUT035
FDD17,3680.2695892611723,OUT018
FDW39,2856.904241520043,OUT013
DRH59,1087.3355333356276,OUT045
FDS52,1560.0574097608335,OUT013
FDU40,5746.935623112825,OUT027
NCF54,2848.9555808501887,OUT013
FDH46,1567.1913872193763,OUT045
NCP14,1567.1913872193763,OUT049
FDH50,3058.187179980987,OUT049
DRF15,371.0725288537024,OUT010
FDV27,2595.7265867584174,OUT027
NCJ06,2005.379039961096,OUT049
FDN02,3274.411306366643,OUT018
FDQ51,742.7985484453811,OUT049
FDQ07,3759.420083568479,OUT017
FDS45,1567.1913872193763,OUT049
NCJ06,2016.4058878554322,OUT045
FDD36,1932.02040639306,OUT035
FDY25,3055.8772480758635,OUT045
FDU52,2489.937131095645,OUT046
DRK47,3794.159970682879,OUT017
NCL30,2019.2946620539658,OUT017
FDN22,4012.712975807603,OUT035
NCF30,2988.454331476776,OUT027
FDK03,4034.146076401305,OUT035
FDT45,923.5031774312056,OUT017
NCC54,5841.69769612864,OUT027
FDP08,3059.8038281880745,OUT018
